t_s,r_cmd,alpha,v_bus
0.000000e+00,0.4000,0.480000,14.66672
5.100000e-06,0.4000,0.480000,14.66672
1.010000e-05,0.4000,0.480000,14.66672
1.510000e-05,0.4000,0.480000,14.66672
2.020000e-05,0.4000,0.480000,14.66672
2.530000e-05,0.4000,0.480000,14.66672
3.040000e-05,0.4000,0.480000,14.66672
3.540000e-05,0.4000,0.480000,14.66672
4.040000e-05,0.4000,0.480000,14.66672
4.540000e-05,0.4000,0.480000,14.66672
5.040000e-05,0.4000,0.480000,14.66672
5.540000e-05,0.4000,0.480000,14.66672
6.040000e-05,0.4000,0.480000,14.66672
6.540000e-05,0.4000,0.480000,14.66672
7.040000e-05,0.4000,0.480000,14.66672
7.540000e-05,0.4000,0.480000,14.66672
8.040000e-05,0.4000,0.480000,14.66672
8.540000e-05,0.4000,0.480000,14.66672
9.040000e-05,0.4000,0.480000,14.66672
9.540000e-05,0.4000,0.480000,14.66672
1.004000e-04,0.4000,0.480000,14.66672
1.054000e-04,0.4000,0.480000,14.66672
1.104000e-04,0.4000,0.480000,14.66672
1.154000e-04,0.4000,0.480000,14.66672
1.204000e-04,0.4000,0.480000,14.66672
1.254000e-04,0.4000,0.480000,14.66672
1.304000e-04,0.4000,0.480000,14.66672
1.354000e-04,0.4000,0.480000,14.66672
1.404000e-04,0.4000,0.480000,14.66672
1.454000e-04,0.4000,0.480000,14.66672
1.504000e-04,0.4000,0.480000,14.66672
1.554000e-04,0.4000,0.480000,14.66672
1.604000e-04,0.4000,0.480000,14.66672
1.654000e-04,0.4000,0.480000,14.66672
1.704000e-04,0.4000,0.480000,14.66672
1.754000e-04,0.4000,0.480000,14.66672
1.804000e-04,0.4000,0.480000,14.66672
1.854000e-04,0.4000,0.480000,14.66672
1.904000e-04,0.4000,0.480000,14.66672
1.954000e-04,0.4000,0.480000,14.66672
2.004000e-04,0.4000,0.480000,14.66672
2.054000e-04,0.4000,0.480000,14.66672
2.104000e-04,0.4000,0.480000,14.66672
2.154000e-04,0.4000,0.480000,14.66672
2.204000e-04,0.4000,0.480000,14.66672
2.254000e-04,0.4000,0.480000,14.66672
2.304000e-04,0.4000,0.480000,14.66672
2.354000e-04,0.4000,0.480000,14.66672
2.404000e-04,0.4000,0.480000,14.66672
2.454000e-04,0.4000,0.480000,14.66672
2.504000e-04,0.4000,0.480000,14.66672
2.554000e-04,0.4000,0.480000,14.66672
2.604000e-04,0.4000,0.480000,14.66672
2.654000e-04,0.4000,0.480000,14.66672
2.704000e-04,0.4000,0.480000,14.66672
2.754000e-04,0.4000,0.480000,14.66672
2.804000e-04,0.4000,0.480000,14.66672
2.854000e-04,0.4000,0.480000,14.66672
2.904000e-04,0.4000,0.480000,14.66672
2.954000e-04,0.4000,0.480000,14.66672
3.004000e-04,0.4000,0.480000,14.66672
3.054000e-04,0.4000,0.480000,14.66672
3.104000e-04,0.4000,0.480000,14.66672
3.154000e-04,0.4000,0.480000,14.66672
3.204000e-04,0.4000,0.480000,14.66672
3.254000e-04,0.4000,0.480000,14.66672
3.304000e-04,0.4000,0.480000,14.66672
3.354000e-04,0.4000,0.480000,14.66672
3.404000e-04,0.4000,0.480000,14.66672
3.454000e-04,0.4000,0.480000,14.66672
3.504000e-04,0.4000,0.480000,14.66672
3.554000e-04,0.4000,0.480000,14.66672
3.604000e-04,0.4000,0.480000,14.66672
3.654000e-04,0.4000,0.480000,14.66672
3.704000e-04,0.4000,0.480000,14.66672
3.754000e-04,0.4000,0.480000,14.66672
3.804000e-04,0.4000,0.480000,14.66672
3.854000e-04,0.4000,0.480000,14.66672
3.904000e-04,0.4000,0.480000,14.66672
3.954000e-04,0.4000,0.480000,14.66672
4.004000e-04,0.4000,0.480000,14.66672
4.054000e-04,0.4000,0.480000,14.66672
4.104000e-04,0.4000,0.480000,14.66672
4.154000e-04,0.4000,0.480000,14.66672
4.204000e-04,0.4000,0.480000,14.66672
4.254000e-04,0.4000,0.480000,14.66672
4.304000e-04,0.4000,0.480000,14.66672
4.354000e-04,0.4000,0.480000,14.66672
4.404000e-04,0.4000,0.480000,14.66672
4.454000e-04,0.4000,0.480000,14.66672
4.504000e-04,0.4000,0.480000,14.66672
4.554000e-04,0.4000,0.480000,14.66672
4.604000e-04,0.4000,0.480000,14.66672
4.654000e-04,0.4000,0.480000,14.66672
4.704000e-04,0.4000,0.480000,14.66672
4.754000e-04,0.4000,0.480000,14.66672
4.804000e-04,0.4000,0.480000,14.66672
4.854000e-04,0.4000,0.480000,14.66672
4.905000e-04,0.4000,0.480000,14.66672
4.956000e-04,0.4000,0.480000,14.66672
5.007000e-04,0.4000,0.480000,14.66672
5.058000e-04,0.4000,0.480000,14.66672
5.109000e-04,0.4000,0.480000,14.66672
5.160000e-04,0.4000,0.480000,14.66672
5.211000e-04,0.4000,0.480000,14.66672
5.262000e-04,0.4000,0.480000,14.66672
5.313000e-04,0.4000,0.480000,14.66672
5.364000e-04,0.4000,0.480000,14.66672
5.415000e-04,0.4000,0.480000,14.66672
5.466000e-04,0.4000,0.480000,14.66672
5.517000e-04,0.4000,0.480000,14.66672
5.568000e-04,0.4000,0.480000,14.66672
5.619000e-04,0.4000,0.480000,14.66672
5.670000e-04,0.4000,0.480000,14.66672
5.721000e-04,0.4000,0.480000,14.66672
5.772000e-04,0.4000,0.480000,14.66672
5.823000e-04,0.4000,0.480000,14.66672
5.874000e-04,0.4000,0.480000,14.66672
5.925000e-04,0.4000,0.480000,14.66672
5.976000e-04,0.4000,0.480000,14.66672
6.027000e-04,0.4000,0.480000,14.66672
6.078000e-04,0.4000,0.480000,14.66672
6.129000e-04,0.4000,0.480000,14.66672
6.180000e-04,0.4000,0.480000,14.66672
6.231000e-04,0.4000,0.480000,14.66672
6.282000e-04,0.4000,0.480000,14.66672
6.333000e-04,0.4000,0.480000,14.66672
6.384000e-04,0.4000,0.480000,14.66672
6.435000e-04,0.4000,0.480000,14.66672
6.486000e-04,0.4000,0.480000,14.66672
6.537000e-04,0.4000,0.480000,14.66672
6.588000e-04,0.4000,0.480000,14.66672
6.639000e-04,0.4000,0.480000,14.66672
6.690000e-04,0.4000,0.480000,14.66672
6.741000e-04,0.4000,0.480000,14.66672
6.792000e-04,0.4000,0.480000,14.66672
6.843000e-04,0.4000,0.480000,14.66672
6.894000e-04,0.4000,0.480000,14.66672
6.945000e-04,0.4000,0.480000,14.66672
6.996000e-04,0.4000,0.480000,14.66672
7.047000e-04,0.4000,0.480000,14.66672
7.098000e-04,0.4000,0.480000,14.66672
7.149000e-04,0.4000,0.480000,14.66672
7.200000e-04,0.4000,0.480000,14.66672
7.251000e-04,0.4000,0.480000,14.66672
7.302000e-04,0.4000,0.480000,14.66672
7.353000e-04,0.4000,0.480000,14.66672
7.404000e-04,0.4000,0.480000,14.66672
7.455000e-04,0.4000,0.480000,14.66672
7.506000e-04,0.4000,0.480000,14.66672
7.557000e-04,0.4000,0.480000,14.66672
7.608000e-04,0.4000,0.480000,14.66672
7.659000e-04,0.4000,0.480000,14.66672
7.710000e-04,0.4000,0.480000,14.66672
7.761000e-04,0.4000,0.480000,14.66672
7.812000e-04,0.4000,0.480000,14.66672
7.863000e-04,0.4000,0.480000,14.66672
7.914000e-04,0.4000,0.480000,14.66672
7.965000e-04,0.4000,0.480000,14.66672
8.016000e-04,0.4000,0.480000,14.66672
8.067000e-04,0.4000,0.480000,14.66672
8.118000e-04,0.4000,0.480000,14.66672
8.169000e-04,0.4000,0.480000,14.66672
8.220000e-04,0.4000,0.480000,14.66672
8.271000e-04,0.4000,0.480000,14.66672
8.322000e-04,0.4000,0.480000,14.66672
8.373000e-04,0.4000,0.480000,14.66672
8.424000e-04,0.4000,0.480000,14.66672
8.475000e-04,0.4000,0.480000,14.66672
8.526000e-04,0.4000,0.480000,14.66672
8.577000e-04,0.4000,0.480000,14.66672
8.628000e-04,0.4000,0.480000,14.66672
8.679000e-04,0.4000,0.480000,14.66672
8.730000e-04,0.4000,0.480000,14.66672
8.781000e-04,0.4000,0.480000,14.66672
8.832000e-04,0.4000,0.480000,14.66672
8.883000e-04,0.4000,0.480000,14.66672
8.934000e-04,0.4000,0.480000,14.66672
8.985000e-04,0.4000,0.480000,14.66672
9.036000e-04,0.4000,0.480000,14.66672
9.087000e-04,0.4000,0.480000,14.66672
9.138000e-04,0.4000,0.480000,14.66672
9.189000e-04,0.4000,0.480000,14.66672
9.240000e-04,0.4000,0.480000,14.66672
9.291000e-04,0.4000,0.480000,14.66672
9.342000e-04,0.4000,0.480000,14.66672
9.393000e-04,0.4000,0.480000,14.66672
9.444000e-04,0.4000,0.480000,14.66672
9.495000e-04,0.4000,0.480000,14.66672
9.546000e-04,0.4000,0.480000,14.66672
9.597000e-04,0.4000,0.480000,14.66672
9.648000e-04,0.4000,0.480000,14.66672
9.699000e-04,0.4000,0.480000,14.66672
9.750000e-04,0.4000,0.480000,14.66672
9.800000e-04,0.4000,0.480000,14.66672
9.850000e-04,0.4000,0.480000,14.66672
9.900000e-04,0.4000,0.480000,14.66672
9.950000e-04,0.4000,0.480000,14.66672
1.000000e-03,0.4000,0.480000,14.66672
1.005000e-03,0.6000,0.675151,14.66934
1.010000e-03,0.6000,0.675301,14.67188
1.015000e-03,0.6000,0.675446,14.67433
1.020000e-03,0.6000,0.675587,14.67671
1.025000e-03,0.6000,0.675724,14.67900
1.030000e-03,0.6000,0.675857,14.68122
1.035000e-03,0.6000,0.675986,14.68337
1.040000e-03,0.6000,0.676111,14.68545
1.045000e-03,0.6000,0.676233,14.68746
1.050000e-03,0.6000,0.676351,14.68940
1.055000e-03,0.6000,0.676465,14.69128
1.060000e-03,0.6000,0.676576,14.69310
1.065000e-03,0.6000,0.676684,14.69486
1.070000e-03,0.6000,0.676788,14.69656
1.075000e-03,0.6000,0.676889,14.69820
1.080000e-03,0.6000,0.676988,14.69979
1.085000e-03,0.6000,0.677083,14.70133
1.090000e-03,0.6000,0.677175,14.70282
1.095000e-03,0.6000,0.677265,14.70426
1.100000e-03,0.6000,0.677351,14.70565
1.105000e-03,0.6000,0.677435,14.70700
1.110000e-03,0.6000,0.677517,14.70830
1.115000e-03,0.6000,0.677596,14.70956
1.120000e-03,0.6000,0.677672,14.71078
1.125000e-03,0.6000,0.677747,14.71196
1.130000e-03,0.6000,0.677818,14.71310
1.135000e-03,0.6000,0.677888,14.71420
1.140000e-03,0.6000,0.677956,14.71527
1.145000e-03,0.6000,0.678021,14.71630
1.150000e-03,0.6000,0.678084,14.71730
1.155000e-03,0.6000,0.678146,14.71826
1.160000e-03,0.6000,0.678205,14.71919
1.165000e-03,0.6000,0.678263,14.72010
1.170000e-03,0.6000,0.678318,14.72097
1.175000e-03,0.6000,0.678373,14.72181
1.180000e-03,0.6000,0.678425,14.72263
1.185000e-03,0.6000,0.678476,14.72342
1.190000e-03,0.6000,0.678525,14.72418
1.195000e-03,0.6000,0.678572,14.72492
1.200000e-03,0.6000,0.678618,14.72564
1.205000e-03,0.6000,0.678663,14.72633
1.210000e-03,0.6000,0.678706,14.72700
1.215000e-03,0.6000,0.678748,14.72764
1.220000e-03,0.6000,0.678788,14.72827
1.225000e-03,0.6000,0.678827,14.72887
1.230000e-03,0.6000,0.678865,14.72946
1.235000e-03,0.6000,0.678902,14.73003
1.240000e-03,0.6000,0.678937,14.73057
1.245000e-03,0.6000,0.678972,14.73110
1.250000e-03,0.6000,0.679005,14.73161
1.255000e-03,0.6000,0.679037,14.73211
1.260000e-03,0.6000,0.679069,14.73259
1.265000e-03,0.6000,0.679099,14.73305
1.270000e-03,0.6000,0.679128,14.73350
1.275000e-03,0.6000,0.679156,14.73393
1.280000e-03,0.6000,0.679184,14.73435
1.285000e-03,0.6000,0.679210,14.73476
1.290000e-03,0.6000,0.679236,14.73515
1.295000e-03,0.6000,0.679261,14.73553
1.300000e-03,0.6000,0.679285,14.73590
1.305000e-03,0.6000,0.679308,14.73625
1.310000e-03,0.6000,0.679330,14.73659
1.315000e-03,0.6000,0.679352,14.73693
1.320000e-03,0.6000,0.679373,14.73725
1.325000e-03,0.6000,0.679394,14.73756
1.330000e-03,0.6000,0.679413,14.73786
1.335000e-03,0.6000,0.679433,14.73815
1.340000e-03,0.6000,0.679451,14.73843
1.345000e-03,0.6000,0.679469,14.73870
1.350000e-03,0.6000,0.679486,14.73896
1.355000e-03,0.6000,0.679503,14.73922
1.360000e-03,0.6000,0.679519,14.73946
1.365000e-03,0.6000,0.679535,14.73970
1.370000e-03,0.6000,0.679550,14.73993
1.375000e-03,0.6000,0.679565,14.74016
1.380000e-03,0.6000,0.679579,14.74037
1.385000e-03,0.6000,0.679593,14.74058
1.390000e-03,0.6000,0.679606,14.74078
1.395000e-03,0.6000,0.679619,14.74097
1.400000e-03,0.6000,0.679631,14.74116
1.405000e-03,0.6000,0.679643,14.74134
1.410000e-03,0.6000,0.679655,14.74152
1.415000e-03,0.6000,0.679666,14.74169
1.420000e-03,0.6000,0.679677,14.74186
1.425000e-03,0.6000,0.679688,14.74202
1.430000e-03,0.6000,0.679698,14.74217
1.435000e-03,0.6000,0.679708,14.74232
1.440000e-03,0.6000,0.679717,14.74246
1.445000e-03,0.6000,0.679726,14.74260
1.450000e-03,0.6000,0.679735,14.74274
1.455000e-03,0.6000,0.679744,14.74287
1.460000e-03,0.6000,0.679752,14.74299
1.465000e-03,0.6000,0.679761,14.74312
1.470000e-03,0.6000,0.679768,14.74323
1.475000e-03,0.6000,0.679776,14.74335
1.480000e-03,0.6000,0.679783,14.74346
1.485000e-03,0.6000,0.679790,14.74357
1.490000e-03,0.6000,0.679797,14.74367
1.495000e-03,0.6000,0.679804,14.74377
1.500000e-03,0.6000,0.679810,14.74387
1.505000e-03,0.6000,0.679816,14.74396
1.510000e-03,0.6000,0.679822,14.74405
1.515000e-03,0.6000,0.679828,14.74414
1.520000e-03,0.6000,0.679834,14.74422
1.525000e-03,0.6000,0.679839,14.74430
1.530000e-03,0.6000,0.679845,14.74438
1.535000e-03,0.6000,0.679850,14.74446
1.540000e-03,0.6000,0.679855,14.74453
1.545000e-03,0.6000,0.679859,14.74460
1.550000e-03,0.6000,0.679864,14.74467
1.555000e-03,0.6000,0.679868,14.74474
1.560000e-03,0.6000,0.679873,14.74481
1.565000e-03,0.6000,0.679877,14.74487
1.570000e-03,0.6000,0.679881,14.74493
1.575000e-03,0.6000,0.679885,14.74499
1.580000e-03,0.6000,0.679889,14.74504
1.585000e-03,0.6000,0.679892,14.74510
1.590000e-03,0.6000,0.679896,14.74515
1.595000e-03,0.6000,0.679899,14.74520
1.600000e-03,0.6000,0.679903,14.74525
1.605000e-03,0.6000,0.679906,14.74530
1.610000e-03,0.6000,0.679909,14.74535
1.615000e-03,0.6000,0.679912,14.74539
1.620000e-03,0.6000,0.679915,14.74544
1.625000e-03,0.6000,0.679917,14.74548
1.630000e-03,0.6000,0.679920,14.74552
1.635000e-03,0.6000,0.679923,14.74556
1.640000e-03,0.6000,0.679925,14.74560
1.645000e-03,0.6000,0.679928,14.74563
1.650000e-03,0.6000,0.679930,14.74567
1.655000e-03,0.6000,0.679932,14.74570
1.660000e-03,0.6000,0.679935,14.74574
1.665000e-03,0.6000,0.679937,14.74577
1.670000e-03,0.6000,0.679939,14.74580
1.675000e-03,0.6000,0.679941,14.74583
1.680000e-03,0.6000,0.679943,14.74586
1.685000e-03,0.6000,0.679945,14.74589
1.690000e-03,0.6000,0.679946,14.74591
1.695000e-03,0.6000,0.679948,14.74594
1.700000e-03,0.6000,0.679950,14.74597
1.705000e-03,0.6000,0.679952,14.74599
1.710000e-03,0.6000,0.679953,14.74601
1.715000e-03,0.6000,0.679955,14.74604
1.720000e-03,0.6000,0.679956,14.74606
1.725000e-03,0.6000,0.679958,14.74608
1.730000e-03,0.6000,0.679959,14.74610
1.735000e-03,0.6000,0.679960,14.74612
1.740000e-03,0.6000,0.679962,14.74614
1.745000e-03,0.6000,0.679963,14.74616
1.750000e-03,0.6000,0.679964,14.74618
1.755000e-03,0.6000,0.679965,14.74620
1.760000e-03,0.6000,0.679966,14.74621
1.765000e-03,0.6000,0.679968,14.74623
1.770000e-03,0.6000,0.679969,14.74625
1.775000e-03,0.6000,0.679970,14.74626
1.780000e-03,0.6000,0.679971,14.74628
1.785000e-03,0.6000,0.679972,14.74629
1.790000e-03,0.6000,0.679973,14.74630
1.795000e-03,0.6000,0.679973,14.74632
1.800000e-03,0.6000,0.679974,14.74633
1.805000e-03,0.6000,0.679975,14.74634
1.810000e-03,0.6000,0.679976,14.74636
1.815000e-03,0.6000,0.679977,14.74637
1.820000e-03,0.6000,0.679977,14.74638
1.825000e-03,0.6000,0.679978,14.74639
1.830000e-03,0.6000,0.679979,14.74640
1.835000e-03,0.6000,0.679980,14.74641
1.840000e-03,0.6000,0.679980,14.74642
1.845000e-03,0.6000,0.679981,14.74643
1.850000e-03,0.6000,0.679982,14.74644
1.855000e-03,0.6000,0.679982,14.74645
1.860000e-03,0.6000,0.679983,14.74646
1.865000e-03,0.6000,0.679983,14.74647
1.870000e-03,0.6000,0.679984,14.74647
1.875000e-03,0.6000,0.679984,14.74648
1.880000e-03,0.6000,0.679985,14.74649
1.885000e-03,0.6000,0.679985,14.74650
1.890000e-03,0.6000,0.679986,14.74650
1.895000e-03,0.6000,0.679986,14.74651
1.900000e-03,0.6000,0.679987,14.74652
1.905000e-03,0.6000,0.679987,14.74653
1.910000e-03,0.6000,0.679988,14.74653
1.915000e-03,0.6000,0.679988,14.74654
1.920000e-03,0.6000,0.679988,14.74654
1.925000e-03,0.6000,0.679989,14.74655
1.930000e-03,0.6000,0.679989,14.74655
1.935000e-03,0.6000,0.679990,14.74656
1.940000e-03,0.6000,0.679990,14.74656
1.945000e-03,0.6000,0.679990,14.74657
1.950000e-03,0.6000,0.679991,14.74657
1.955100e-03,0.6000,0.679991,14.74658
1.960200e-03,0.6000,0.679991,14.74658
1.965300e-03,0.6000,0.679991,14.74659
1.970400e-03,0.6000,0.679992,14.74659
1.975500e-03,0.6000,0.679992,14.74660
1.980600e-03,0.6000,0.679992,14.74660
1.985700e-03,0.6000,0.679993,14.74660
1.990800e-03,0.6000,0.679993,14.74661
1.995900e-03,0.6000,0.679993,14.74661
2.001000e-03,0.6000,0.679993,14.74662
2.006100e-03,0.6000,0.679993,14.74662
2.011200e-03,0.6000,0.679994,14.74662
2.016300e-03,0.6000,0.679994,14.74663
2.021400e-03,0.6000,0.679994,14.74663
2.026500e-03,0.6000,0.679994,14.74663
2.031600e-03,0.6000,0.679995,14.74663
2.036700e-03,0.6000,0.679995,14.74664
2.041800e-03,0.6000,0.679995,14.74664
2.046900e-03,0.6000,0.679995,14.74664
2.052000e-03,0.6000,0.679995,14.74664
2.057100e-03,0.6000,0.679995,14.74665
2.062200e-03,0.6000,0.679996,14.74665
2.067300e-03,0.6000,0.679996,14.74665
2.072400e-03,0.6000,0.679996,14.74665
2.077500e-03,0.6000,0.679996,14.74666
2.082600e-03,0.6000,0.679996,14.74666
2.087700e-03,0.6000,0.679996,14.74666
2.092800e-03,0.6000,0.679996,14.74666
2.097900e-03,0.6000,0.679996,14.74666
2.103000e-03,0.6000,0.679997,14.74667
2.108100e-03,0.6000,0.679997,14.74667
2.113200e-03,0.6000,0.679997,14.74667
2.118300e-03,0.6000,0.679997,14.74667
2.123400e-03,0.6000,0.679997,14.74667
2.128500e-03,0.6000,0.679997,14.74667
2.133600e-03,0.6000,0.679997,14.74667
2.138700e-03,0.6000,0.679997,14.74668
2.143800e-03,0.6000,0.679997,14.74668
2.148900e-03,0.6000,0.679997,14.74668
2.154000e-03,0.6000,0.679998,14.74668
2.159100e-03,0.6000,0.679998,14.74668
2.164200e-03,0.6000,0.679998,14.74668
2.169300e-03,0.6000,0.679998,14.74668
2.174400e-03,0.6000,0.679998,14.74668
2.179500e-03,0.6000,0.679998,14.74669
2.184600e-03,0.6000,0.679998,14.74669
2.189700e-03,0.6000,0.679998,14.74669
2.194800e-03,0.6000,0.679998,14.74669
2.199900e-03,0.6000,0.679998,14.74669
2.205000e-03,0.6000,0.679998,14.74669
2.210100e-03,0.6000,0.679998,14.74669
2.215200e-03,0.6000,0.679998,14.74669
2.220300e-03,0.6000,0.679998,14.74669
2.225400e-03,0.6000,0.679998,14.74669
2.230500e-03,0.6000,0.679999,14.74669
2.235600e-03,0.6000,0.679999,14.74670
2.240700e-03,0.6000,0.679999,14.74670
2.245800e-03,0.6000,0.679999,14.74670
2.250900e-03,0.6000,0.679999,14.74670
2.256000e-03,0.6000,0.679999,14.74670
2.261100e-03,0.6000,0.679999,14.74670
2.266200e-03,0.6000,0.679999,14.74670
2.271300e-03,0.6000,0.679999,14.74670
2.276400e-03,0.6000,0.679999,14.74670
2.281500e-03,0.6000,0.679999,14.74670
2.286600e-03,0.6000,0.679999,14.74670
2.291700e-03,0.6000,0.679999,14.74670
2.296800e-03,0.6000,0.679999,14.74670
2.301900e-03,0.6000,0.679999,14.74670
2.307000e-03,0.6000,0.679999,14.74670
2.312100e-03,0.6000,0.679999,14.74670
2.317200e-03,0.6000,0.679999,14.74670
2.322300e-03,0.6000,0.679999,14.74670
2.327400e-03,0.6000,0.679999,14.74670
2.332500e-03,0.6000,0.679999,14.74671
2.337600e-03,0.6000,0.679999,14.74671
2.342700e-03,0.6000,0.679999,14.74671
2.347800e-03,0.6000,0.679999,14.74671
2.352900e-03,0.6000,0.679999,14.74671
2.358000e-03,0.6000,0.679999,14.74671
2.363100e-03,0.6000,0.679999,14.74671
2.368200e-03,0.6000,0.679999,14.74671
2.373300e-03,0.6000,0.679999,14.74671
2.378400e-03,0.6000,0.679999,14.74671
2.383500e-03,0.6000,0.679999,14.74671
2.388600e-03,0.6000,0.679999,14.74671
2.393700e-03,0.6000,0.680000,14.74671
2.398800e-03,0.6000,0.680000,14.74671
2.403900e-03,0.6000,0.680000,14.74671
2.409000e-03,0.6000,0.680000,14.74671
2.414100e-03,0.6000,0.680000,14.74671
2.419200e-03,0.6000,0.680000,14.74671
2.424300e-03,0.6000,0.680000,14.74671
2.429400e-03,0.6000,0.680000,14.74671
2.434500e-03,0.6000,0.680000,14.74671
2.439600e-03,0.6000,0.680000,14.74671
2.444700e-03,0.6000,0.680000,14.74671
2.449800e-03,0.6000,0.680000,14.74671
2.454900e-03,0.6000,0.680000,14.74671
2.460000e-03,0.6000,0.680000,14.74671
2.465100e-03,0.6000,0.680000,14.74671
2.470200e-03,0.6000,0.680000,14.74671
2.475300e-03,0.6000,0.680000,14.74671
2.480400e-03,0.6000,0.680000,14.74671
2.485500e-03,0.6000,0.680000,14.74671
2.490600e-03,0.6000,0.680000,14.74671
